Start Time:  01-07-2024 11:43:49          Time Completed:  01-07-2024 12:37:55      Elapsed Time:  00:54:05
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\A.txt
Plot File:     C:\IDEASVSM\LS_QC\A.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\A.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0822811 	
 18000 	 0.0821906 	
 17000 	 0.0820748 	
 16000 	 0.0819249 	
 15000 	 0.08176 	
 14000 	 0.0815583 	
 13000 	 0.081322 	
 12000 	 0.0810425 	
 11000 	 0.0807272 	
 9999.99 	 0.0803527 	
 8999.97 	 0.0799018 	
 8000.01 	 0.0793241 	
 7000 	 0.0786702 	
 6000.01 	 0.0778679 	
 5000 	 0.0768755 	
 4000 	 0.0753385 	
 2999.97 	 0.0730922 	
 1999.98 	 0.0694843 	
 999.994 	 0.0619623 	
 950.008 	 0.0613363 	
 899.993 	 0.0606482 	
 849.999 	 0.0599531 	
 800.001 	 0.0591808 	
 749.999 	 0.0583159 	
 699.995 	 0.057401 	
 649.996 	 0.0564043 	
 600.002 	 0.0552773 	
 550.002 	 0.0540364 	
 499.992 	 0.0526949 	
 449.995 	 0.0511399 	
 400.002 	 0.0493576 	
 349.998 	 0.047263 	
 299.997 	 0.0447846 	
 250.001 	 0.0417656 	
 200 	 0.0380197 	
 190 	 0.0371286 	
 179.999 	 0.0361958 	
 170.001 	 0.0352197 	
 160 	 0.0341617 	
 149.998 	 0.0330638 	
 139.995 	 0.031893 	
 130.001 	 0.0306536 	
 120.005 	 0.0293289 	
 110.001 	 0.0279151 	
 99.9969 	 0.0264033 	
 89.9988 	 0.0247776 	
 79.9998 	 0.0229803 	
 69.9959 	 0.0211123 	
 60.0037 	 0.0190775 	
 49.9934 	 0.0168342 	
 39.9957 	 0.0144427 	
 29.9969 	 0.0117205 	
 19.9964 	 0.00850133 	
 18.0009 	 0.00766722 	
 15.9956 	 0.00682799 	
 13.9938 	 0.00599393 	
 11.9909 	 0.00513438 	
 9.99915 	 0.00427964 	
 7.99198 	 0.00343856 	
 6.00011 	 0.00261956 	
 4.0001 	 0.00179586 	
 1.99383 	 0.000950927 	
 0.00529834 	 0.0000860701 	
-2.00355 	-0.000774918 	
-3.99972 	-0.00159373 	
-5.99726 	-0.00238746 	
-8.0027 	-0.00315117 	
-10.003 	-0.00391095 	
-11.9999 	-0.00465493 	
-14.0054 	-0.00537753 	
-16.0001 	-0.00608955 	
-17.9964 	-0.00678959 	
-20.0026 	-0.00750129 	
-30.0031 	-0.010819 	
-39.9955 	-0.0137838 	
-49.9995 	-0.016279 	
-59.9988 	-0.018636 	
-70.0043 	-0.0206844 	
-79.9968 	-0.0225754 	
-90.004 	-0.0243678 	
-100.011 	-0.0260241 	
-110.006 	-0.0275509 	
-120.004 	-0.0289626 	
-130.002 	-0.0303394 	
-140.008 	-0.0315788 	
-150.002 	-0.0327655 	
-160.011 	-0.0338658 	
-170.001 	-0.034917 	
-180.004 	-0.035893 	
-190.002 	-0.0368366 	
-200.008 	-0.0377069 	
-250.004 	-0.0414616 	
-299.999 	-0.044517 	
-350.001 	-0.0470133 	
-400 	-0.0491091 	
-450.003 	-0.0509256 	
-500.008 	-0.0525078 	
-550 	-0.0538906 	
-600.002 	-0.0551262 	
-650 	-0.0562404 	
-699.999 	-0.0572652 	
-750.003 	-0.0581852 	
-800.003 	-0.059004 	
-850.002 	-0.0597893 	
-900.01 	-0.0605139 	
-950.009 	-0.0612023 	
-1000 	-0.0618352 	
-2000 	-0.0693265 	
-3000.01 	-0.0729432 	
-4000.04 	-0.0751508 	
-5000 	-0.0766949 	
-6000.02 	-0.0776771 	
-7000.02 	-0.0784727 	
-8000.01 	-0.0790958 	
-8999.99 	-0.0796305 	
-9999.99 	-0.0800593 	
-11000 	-0.0804613 	
-12000 	-0.0807736 	
-13000 	-0.0810448 	
-14000 	-0.0812713 	
-15000 	-0.081475 	
-16000 	-0.0816608 	
-17000 	-0.0818321 	
-18000 	-0.0819934 	
-19000 	-0.0821571 	
-18000 	-0.082076 	
-17000 	-0.0819701 	
-16000 	-0.081833 	
-15000 	-0.0816602 	
-14000 	-0.0814553 	
-13000 	-0.0812236 	
-12000 	-0.0809497 	
-11000 	-0.0806318 	
-9999.99 	-0.0802546 	
-8999.99 	-0.0797862 	
-8000.01 	-0.0792451 	
-7000 	-0.0785923 	
-5999.99 	-0.0778025 	
-5000 	-0.0768075 	
-3999.99 	-0.0752624 	
-2999.9 	-0.0730583 	
-2000 	-0.0694561 	
-999.987 	-0.0619751 	
-949.999 	-0.0613485 	
-899.998 	-0.0606763 	
-850.008 	-0.0599612 	
-799.995 	-0.059156 	
-749.992 	-0.0583406 	
-699.997 	-0.0574072 	
-649.997 	-0.0563971 	
-599.992 	-0.0552749 	
-549.997 	-0.0540457 	
-499.996 	-0.0526816 	
-449.992 	-0.0511082 	
-400.009 	-0.0493269 	
-350.001 	-0.0472465 	
-299.989 	-0.0447775 	
-249.999 	-0.0417621 	
-200.003 	-0.0380132 	
-189.996 	-0.0371402 	
-179.998 	-0.0361871 	
-169.991 	-0.0351919 	
-159.993 	-0.0341629 	
