Start Time:  01-07-2024 12:45:17          Time Completed:  01-07-2024 13:34:25      Elapsed Time:  00:49:07
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\D.txt
Plot File:     C:\IDEASVSM\LS_QC\D.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\D.dat

***DATA***

Field(G)	 Moment(emu)	
 19000.4 	 0.084197 	
 18002.6 	 0.0841776 	
 17000 	 0.0840212 	
 16000 	 0.0838903 	
 15000 	 0.0837278 	
 14000 	 0.0835277 	
 13000 	 0.0832898 	
 12000 	 0.0830205 	
 11000 	 0.0827049 	
 10000 	 0.0823272 	
 8999.99 	 0.0818831 	
 8000.01 	 0.0813414 	
 6999.98 	 0.0806882 	
 6000 	 0.0798938 	
 4999.99 	 0.0789026 	
 3999.98 	 0.0773669 	
 3000.07 	 0.0751597 	
 1999.99 	 0.0716056 	
 999.992 	 0.0642895 	
 949.989 	 0.0636781 	
 900.002 	 0.0630286 	
 850 	 0.0623294 	
 800.001 	 0.0615793 	
 749.999 	 0.0608134 	
 700.002 	 0.0599248 	
 649.999 	 0.0589484 	
 599.997 	 0.057874 	
 549.999 	 0.0566795 	
 500.003 	 0.055353 	
 449.989 	 0.0538472 	
 399.997 	 0.0520738 	
 350.008 	 0.0500329 	
 299.991 	 0.047626 	
 249.998 	 0.044676 	
 200.006 	 0.0409635 	
 189.996 	 0.0400974 	
 179.985 	 0.0391757 	
 169.992 	 0.0382076 	
 160.004 	 0.0371844 	
 150 	 0.0360928 	
 140.001 	 0.0349262 	
 130.336 	 0.0337253 	
 120.006 	 0.032333 	
 109.996 	 0.0309187 	
 99.9946 	 0.0293902 	
 90.0026 	 0.0277359 	
 79.9995 	 0.0259423 	
 69.995 	 0.0239843 	
 59.9955 	 0.0218465 	
 49.9898 	 0.0194767 	
 40.0074 	 0.0168233 	
 29.9935 	 0.0137777 	
 19.9925 	 0.010085 	
 17.9942 	 0.00915606 	
 15.9975 	 0.00817748 	
 13.9967 	 0.0071528 	
 11.9974 	 0.00612025 	
 10.0013 	 0.00510449 	
 7.99791 	 0.00407505 	
 5.9998 	 0.00308821 	
 3.99918 	 0.00210143 	
 1.99578 	 0.00111118 	
-0.0120257 	 0.000100043 	
-1.99562 	-0.000883451 	
-4.00051 	-0.00184468 	
-5.99818 	-0.00277664 	
-8.00184 	-0.00370525 	
-10 	-0.00461764 	
-11.9971 	-0.00552418 	
-13.999 	-0.00639752 	
-16.0018 	-0.00727354 	
-18.0004 	-0.00814075 	
-20.0029 	-0.00903552 	
-29.9981 	-0.013015 	
-39.9959 	-0.0162776 	
-50.0033 	-0.0189999 	
-60.0007 	-0.0214086 	
-69.9935 	-0.0235805 	
-79.9997 	-0.0255592 	
-90.0075 	-0.0273764 	
-100.006 	-0.029047 	
-110.012 	-0.0305962 	
-119.997 	-0.0320351 	
-130 	-0.033373 	
-140.007 	-0.0346239 	
-150.002 	-0.0357961 	
-160.006 	-0.0368943 	
-170 	-0.0379377 	
-180.003 	-0.0389133 	
-190.009 	-0.0398226 	
-200.002 	-0.0406932 	
-250 	-0.0444222 	
-300.006 	-0.0474055 	
-349.998 	-0.049833 	
-400 	-0.0518672 	
-450.014 	-0.0536338 	
-500.002 	-0.0551687 	
-550.004 	-0.0565103 	
-599.995 	-0.0577048 	
-650.001 	-0.0587785 	
-700.005 	-0.0597516 	
-750.021 	-0.0606395 	
-800.002 	-0.061455 	
-849.996 	-0.0622072 	
-899.996 	-0.0629049 	
-949.998 	-0.0635547 	
-999.999 	-0.0641617 	
-2000.01 	-0.0714711 	
-3000.01 	-0.0750161 	
-4000.01 	-0.077209 	
-4999.99 	-0.0787386 	
-6000.02 	-0.0797236 	
-7000.01 	-0.0805112 	
-8000.01 	-0.0811524 	
-9000.01 	-0.0816841 	
-10000 	-0.0821134 	
-11000 	-0.0824856 	
-12000 	-0.0828042 	
-13000 	-0.0830789 	
-14000 	-0.0833148 	
-15000 	-0.0835251 	
-16000 	-0.0837112 	
-17000 	-0.0838777 	
-18000 	-0.0840257 	
-19000 	-0.084165 	
-18000 	-0.0840781 	
-17000 	-0.0839793 	
-16000 	-0.0838473 	
-15000 	-0.0836766 	
-14000 	-0.0834677 	
-13000 	-0.0832284 	
-12000 	-0.0829477 	
-11000 	-0.0826235 	
-10000 	-0.0822417 	
-9000 	-0.0817991 	
-7999.98 	-0.0812538 	
-7000.01 	-0.0805987 	
-6000 	-0.0798029 	
-4999.99 	-0.078809 	
-4000.01 	-0.0772728 	
-2999.97 	-0.0750799 	
-1999.99 	-0.0715807 	
-999.986 	-0.0642926 	
-949.989 	-0.0636765 	
-899.996 	-0.0630238 	
-849.999 	-0.0623218 	
-799.992 	-0.0615703 	
-749.997 	-0.0607571 	
-700 	-0.0598704 	
-649.999 	-0.0589004 	
-599.997 	-0.057834 	
-550.003 	-0.0566469 	
-499.991 	-0.0553171 	
-449.997 	-0.0538113 	
-400 	-0.0520489 	
-349.983 	-0.0500478 	
-299.987 	-0.0476575 	
-250 	-0.0447109 	
-199.995 	-0.0409863 	
-190 	-0.0401154 	
-179.999 	-0.0391982 	
-170.003 	-0.0382294 	
-160.002 	-0.037195 	
-150.011 	-0.0361049 	
-139.987 	-0.0349391 	
-130.006 	-0.0336955 	
-120.001 	-0.0323645 	
-109.998 	-0.0309357 	
-99.9968 	-0.0293943 	
-90.0038 	-0.0277288 	
-79.9987 	-0.0259229 	
-69.9994 	-0.0239513 	
-60.0047 	-0.0217896 	
-50.0008 	-0.0193987 	
-40.0062 	-0.0167292 	
-29.9941 	-0.0136807 	
-19.9993 	-0.00998483 	
-18.0015 	-0.00903049 	
-15.9953 	-0.00805782 	
-13.999 	-0.00704941 	
-11.994 	-0.00600156 	
-9.99406 	-0.00496427 	
-7.9984 	-0.0039557 	
-5.99836 	-0.002993 	
-4.00011 	-0.00201285 	
-2.00396 	-0.00102944 	
-0.000380157 	-0.0000329424 	
 2.00438 	 0.000954806 	
 3.99689 	 0.00192347 	
 5.99753 	 0.00287244 	
 8.00359 	 0.00381984 	
 10.004 	 0.00473708 	
 11.9964 	 0.00563123 	
 14.0057 	 0.00651536 	
 16.0036 	 0.00738957 	
 18.0025 	 0.00825576 	
 19.9989 	 0.00915349 	
 29.9932 	 0.0131693 	
 40.0125 	 0.0164476 	
 50.0062 	 0.0191609 	
 60.007 	 0.0215875 	
 69.9965 	 0.0237498 	
 79.9997 	 0.0257145 	
 90.0023 	 0.0275259 	
 100.004 	 0.0291883 	
 110.004 	 0.0307242 	
 120 	 0.0321531 	
 130.002 	 0.0334874 	
 140.001 	 0.0347292 	
 149.996 	 0.0358949 	
 160.004 	 0.0369886 	
 170.002 	 0.0380212 	
 179.996 	 0.0389906 	
 189.993 	 0.0399111 	
 199.999 	 0.0407781 	
 250.007 	 0.0444802 	
 300.001 	 0.0474515 	
 350 	 0.0498643 	
 400.002 	 0.0519254 	
 450.006 	 0.0536625 	
 500.007 	 0.0552083 	
 550.009 	 0.0565434 	
 599.998 	 0.0577343 	
 650.002 	 0.0588072 	
 700.004 	 0.0597779 	
 750.009 	 0.0606646 	
 800.003 	 0.0614698 	
 850.007 	 0.0622143 	
 900.005 	 0.0629053 	
 950.004 	 0.0635493 	
 999.995 	 0.064151 	
 2000.01 	 0.0714676 	
 3000.02 	 0.0750087 	
 4000.02 	 0.0772266 	
 5000.02 	 0.0787565 	
 6000.03 	 0.0797418 	
 7000.04 	 0.0805244 	
 7999.99 	 0.0811636 	
 9000.01 	 0.0816924 	
 10000 	 0.0821284 	
 11000 	 0.0824988 	
 12000 	 0.0828123 	
 13000 	 0.0830821 	
 14000 	 0.0833219 	
 15000 	 0.0835297 	
 16000 	 0.0837115 	
 17000 	 0.0838756 	
 18000 	 0.0840256 	
 19000 	 0.084159 	

	
	
